date,year,prior_session,Pref,Popen,G,CE_raw,CE,U,hit_ce_incl,hit_ce_excl1000,hit_u,tte_min,flat_gap,is_event,event_types,excl_reason,eligible_primary,fill_d0,fill_d025,fill_d05,fill_d075,fill_d10
2023-01-03,2023,2022-12-30,13697.75,13779.25,81.5,13738.5,13738.5,13740.75,1.0,1.0,1.0,2.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-01-04,2023,2023-01-03,13587.0,13686.5,99.5,13636.75,13636.75,13630.0,1.0,1.0,1.0,3.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-01-05,2023,2023-01-04,13646.5,13569.75,-76.75,13608.125,13608.25,13579.5,0.0,0.0,1.0,,False,False,,,True,1.0,0.0,0.0,0.0,0.0
2023-01-06,2023,2023-01-05,13480.75,13541.0,60.25,13510.875,13511.0,13501.25,1.0,1.0,1.0,2.0,False,True,NFP,event,False,1.0,1.0,1.0,1.0,1.0
2023-01-09,2023,2023-01-06,13758.5,13856.75,98.25,13807.625,13807.75,13805.75,0.0,0.0,0.0,,False,False,,,True,1.0,0.0,0.0,0.0,0.0
2023-01-10,2023,2023-01-09,13842.25,13798.0,-44.25,13820.125,13820.25,13822.25,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-01-11,2023,2023-01-10,13937.5,13986.0,48.5,13961.75,13961.75,13973.25,1.0,1.0,1.0,3.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-01-12,2023,2023-01-11,14121.5,14134.75,13.25,14128.125,14128.25,14123.5,1.0,1.0,1.0,3.0,False,True,CPI,event,False,1.0,1.0,1.0,1.0,1.0
2023-01-13,2023,2023-01-12,14184.25,14080.75,-103.5,14132.5,14132.5,14091.5,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-01-16,2023,2023-01-13,14242.25,14248.5,6.25,14245.375,14245.5,14248.25,1.0,1.0,1.0,0.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-01-17,2023,2023-01-16,,,,,,,,,,,False,False,,holiday_prior,False,,,,,
2023-01-18,2023,2023-01-17,14276.0,14355.0,79.0,14315.5,14315.5,14313.25,0.0,0.0,0.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-01-19,2023,2023-01-18,14127.75,14051.0,-76.75,14089.375,14089.5,14121.0,1.0,1.0,0.0,3.0,False,False,,,True,1.0,1.0,1.0,0.0,0.0
2023-01-20,2023,2023-01-19,14029.25,14091.0,61.75,14060.125,14060.25,14037.0,1.0,1.0,0.0,2.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-01-23,2023,2023-01-20,14322.5,14361.75,39.25,14342.125,14342.25,14329.25,1.0,1.0,1.0,2.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-01-24,2023,2023-01-23,14574.75,14512.25,-62.5,14543.5,14543.5,14540.75,1.0,1.0,1.0,11.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-01-25,2023,2023-01-24,14621.25,14365.0,-256.25,14493.125,14493.25,14379.0,0.0,0.0,1.0,,False,False,,,True,1.0,0.0,0.0,0.0,0.0
2023-01-26,2023,2023-01-25,14514.5,14673.5,159.0,14594.0,14594.0,14663.0,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-01-27,2023,2023-01-26,14727.75,14704.5,-23.25,14716.125,14716.25,14720.75,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-01-30,2023,2023-01-27,14878.75,14735.0,-143.75,14806.875,14807.0,14782.75,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-01-31,2023,2023-01-30,14638.0,14631.5,-6.5,14634.75,14634.75,14637.0,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-02-01,2023,2023-01-31,14771.0,14798.25,27.25,14784.625,14784.75,14794.0,1.0,1.0,1.0,2.0,False,True,FOMC,event,False,1.0,1.0,1.0,1.0,1.0
2023-02-02,2023,2023-02-01,15149.5,15329.75,180.25,15239.625,15239.75,15266.5,0.0,0.0,0.0,,False,False,,,True,1.0,0.0,0.0,0.0,0.0
2023-02-03,2023,2023-02-02,15382.5,15220.0,-162.5,15301.25,15301.25,15361.75,1.0,1.0,1.0,7.0,False,True,NFP,event,False,1.0,1.0,1.0,1.0,1.0
2023-02-06,2023,2023-02-03,15268.25,15160.75,-107.5,15214.5,15214.5,15250.0,1.0,1.0,0.0,5.0,False,False,,,True,1.0,1.0,1.0,0.0,0.0
2023-02-07,2023,2023-02-06,15163.0,15162.75,-0.25,15162.875,15163.0,15162.75,1.0,1.0,1.0,0.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-02-08,2023,2023-02-07,15387.5,15368.5,-19.0,15378.0,15378.0,15371.0,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-02-09,2023,2023-02-08,15189.25,15377.25,188.0,15283.25,15283.25,15217.75,0.0,0.0,0.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-02-10,2023,2023-02-09,15077.5,14984.25,-93.25,15030.875,15031.0,15016.5,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,0.0,0.0
2023-02-13,2023,2023-02-10,14997.25,15056.0,58.75,15026.625,15026.75,15028.5,1.0,1.0,1.0,4.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-02-14,2023,2023-02-13,15200.75,15131.5,-69.25,15166.125,15166.25,15173.75,1.0,1.0,1.0,16.0,False,True,CPI,event,False,1.0,1.0,1.0,1.0,1.0
2023-02-15,2023,2023-02-14,15276.25,15207.0,-69.25,15241.625,15241.75,15224.75,1.0,1.0,1.0,2.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-02-16,2023,2023-02-15,15398.75,15175.75,-223.0,15287.25,15287.25,15252.25,0.0,0.0,0.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-02-17,2023,2023-02-16,15131.0,15049.5,-81.5,15090.25,15090.25,15069.0,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-02-20,2023,2023-02-17,15042.0,15049.5,7.5,15045.75,15045.75,15047.25,1.0,1.0,1.0,3.0,False,False,,,True,1.0,1.0,1.0,1.0,1.0
2023-02-21,2023,2023-02-20,,,,,,,,,,,False,False,,holiday_prior,False,,,,,
2023-02-22,2023,2023-02-21,14768.5,14779.25,10.75,14773.875,14774.0,14771.0,1.0,1.0,1.0,1.0,False,False,,,True,1.0,1.0,1.0,1.0,0.0
2023-02-23,2023,2023-02-22,14763.5,14904.0,140.5,14833.75,14833.75,14884.25,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-02-24,2023,2023-02-23,14845.25,14648.5,-196.75,14746.875,14747.0,14657.0,0.0,0.0,1.0,,False,False,,,True,1.0,1.0,0.0,0.0,0.0
2023-02-27,2023,2023-02-24,14652.5,14784.75,132.25,14718.625,14718.75,14717.75,0.0,0.0,0.0,,False,False,,,True,1.0,0.0,0.0,0.0,0.0
