date,year,weekday,split,O79,C79,H79,L79,R79,n_w_bars,ATR_ref,class,prev_class,y,y_1000,y_1100,dual_same_bar,is_event,is_holiday,is_early_close,excl_reason,primary_ok,all_days_ok,range_expansion,chop
2022-12-27,2022,1,warmup,13789.25,13712.25,13790.0,13695.25,94.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2022-12-28,2022,2,warmup,13593.25,13568.5,13607.25,13562.5,44.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2022-12-29,2022,3,warmup,13502.0,13553.75,13557.75,13485.75,72.0,120,,,,,,,False,False,False,False,no_atr,False,False,,
2022-12-30,2022,4,warmup,13638.5,13576.0,13644.25,13559.25,85.0,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-03,2023,1,IS,13732.0,13779.0,13782.0,13707.5,74.5,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-04,2023,2,IS,13666.0,13680.75,13703.0,13627.75,75.25,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-05,2023,3,IS,13681.5,13582.75,13701.75,13568.0,133.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-06,2023,4,IS,13451.0,13604.0,13624.5,13406.0,218.5,120,,,,,,,False,True,False,False,no_atr,False,False,,
2023-01-09,2023,0,IS,13804.5,13831.25,13852.25,13801.5,50.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-10,2023,1,IS,13803.5,13783.75,13805.5,13749.0,56.5,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-11,2023,2,IS,13951.0,13974.75,13983.75,13930.5,53.25,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-12,2023,3,IS,14120.75,14197.75,14211.0,13946.0,265.0,120,,,,,,,False,True,False,False,no_atr,False,False,,
2023-01-13,2023,4,IS,14129.0,14054.25,14138.0,14049.25,88.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-16,2023,0,IS,14220.0,14243.5,14251.75,14210.5,41.25,120,,,,,,,False,False,True,False,holiday,False,False,,
2023-01-17,2023,1,IS,14225.5,14217.0,14244.0,14197.25,46.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-18,2023,2,IS,14303.75,14346.0,14376.75,14291.25,85.5,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-19,2023,3,IS,14039.75,14045.75,14049.75,13999.75,50.0,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-20,2023,4,IS,14066.0,14066.5,14103.5,14057.25,46.25,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-23,2023,0,IS,14313.75,14356.0,14378.25,14312.5,65.75,120,,,,,,,False,False,False,False,no_atr,False,False,,
2023-01-24,2023,1,IS,14538.25,14500.5,14547.0,14490.75,56.25,120,,,,,,,False,False,False,False,no_atr,False,False,,
