date,year,weekday,H79,L79,R79,mid79,n_w_bars,n_swing_lows,n_swing_highs,has_rel,has_reh,L_rel,H_reh,L_rel_higher,L_rel_lowest_mean,L_rel_tau4,L_rel_tau8,S_side,I_ctrl,touch_H79_by_T,touch_L79_by_T,treat_eligible,treat_side,tau_s,target,I_treat,I_treat_pierce,excl_reason,eligible_range,rivalB_eligible,rivalB_side,rivalB_I,rivalA_eligible,rivalA_I,I_treat_1000,I_treat_1100,is_event,is_holiday,is_early_close,is_sunday
2023-01-03,2023,1,13782.0,13707.5,74.5,13744.75,120,16,22,True,True,13742.5,13743.75,13742.75,13716.25,13744.5,13744.5,high,1.0,1.0,1.0,True,REH,2023-01-03 09:30:00,13707.5,1.0,1.0,,True,True,H79,1.0,False,,1.0,1.0,False,False,False,False
2023-01-04,2023,2,13703.0,13627.75,75.25,13665.375,120,24,30,True,True,13664.75,13664.25,13665.0,13634.5,13666.0,13666.0,high,1.0,1.0,1.0,True,REH,2023-01-04 09:30:00,13627.75,1.0,1.0,,True,True,L79,1.0,False,,1.0,1.0,False,False,False,False
2023-01-05,2023,3,13701.75,13568.0,133.75,13634.875,120,29,25,True,True,13651.75,13628.25,13651.75,13578.25,13651.75,13651.75,low,0.0,0.0,1.0,False,,,,,,dual_rel_range_samebar,True,True,L79,0.0,True,0.0,,,False,False,False,False
2023-01-06,2023,4,13624.5,13406.0,218.5,13515.25,120,0,0,False,False,,,,,,,,,,,False,,,,,,event,False,False,,,False,,,,True,False,False,False
2023-01-09,2023,0,13852.25,13801.5,50.75,13826.875,120,25,23,True,True,13826.75,13822.25,13826.75,13802.25,13826.75,13826.75,low,1.0,1.0,0.0,False,,,,,,dual_rel_range_samebar,True,True,H79,0.0,False,,,,False,False,False,False
2023-01-10,2023,1,13805.5,13749.0,56.5,13777.25,120,21,17,True,True,13764.75,13776.25,13764.75,13751.75,13764.75,13764.75,low,1.0,1.0,0.0,True,REH,2023-01-10 09:30:00,13749.0,0.0,0.0,,True,True,H79,0.0,False,,0.0,0.0,False,False,False,False
2023-01-11,2023,2,13983.75,13930.5,53.25,13957.125,120,23,20,True,True,13955.5,13959.75,13955.75,13948.25,13957.25,13957.25,low,1.0,1.0,0.0,False,,,,,,dual_rel_range_samebar,True,True,H79,0.0,False,,,,False,False,False,False
2023-01-12,2023,3,14211.0,13946.0,265.0,14078.5,120,0,0,False,False,,,,,,,,,,,False,,,,,,event,False,False,,,False,,,,True,False,False,False
2023-01-13,2023,4,14138.0,14049.25,88.75,14093.625,120,26,24,True,True,14097.5,14100.5,14098.5,14049.75,14097.5,14094.0,high,0.0,1.0,0.0,True,REL,2023-01-13 09:30:00,14138.0,1.0,1.0,,True,True,H79,0.0,True,1.0,0.0,1.0,False,False,False,False
2023-01-16,2023,0,,,,,0,0,0,False,False,,,,,,,,,,,False,,,,,,holiday,False,False,,,False,,,,False,True,False,False
2023-01-17,2023,1,14244.0,14197.25,46.75,14220.625,120,21,29,True,True,14223.75,14222.25,14224.25,14203.0,14223.75,14220.5,low,1.0,1.0,0.0,False,,,,,,dual_rel_range_samebar,True,True,H79,0.0,False,,,,False,False,False,False
2023-01-18,2023,2,14376.75,14291.25,85.5,14334.0,120,20,23,True,True,14335.5,14326.5,14336.0,14297.25,14335.5,14335.5,low,1.0,1.0,1.0,True,REH,2023-01-18 09:30:00,14291.25,1.0,1.0,,True,True,H79,1.0,False,,0.0,1.0,False,False,False,False
2023-01-19,2023,3,14049.75,13999.75,50.0,14024.75,120,26,25,True,True,14025.0,14024.75,14026.0,14010.0,14024.5,14024.5,high,1.0,1.0,1.0,False,,,,,,dual_rel_range_samebar,True,True,H79,1.0,False,,,,False,False,False,False
2023-01-20,2023,4,14103.5,14057.25,46.25,14080.375,120,23,25,True,True,14080.25,14074.0,14080.5,14063.75,14080.25,14080.25,high,1.0,1.0,1.0,True,REH,2023-01-20 09:30:00,14057.25,1.0,1.0,,True,True,L79,1.0,False,,1.0,1.0,False,False,False,False
2023-01-23,2023,0,14378.25,14312.5,65.75,14345.375,120,26,21,True,True,14345.25,14350.0,14345.25,14321.5,14345.25,14345.5,low,1.0,1.0,0.0,True,REH,2023-01-23 09:30:00,14312.5,0.0,0.0,,True,True,H79,0.0,False,,0.0,0.0,False,False,False,False
2023-01-24,2023,1,14547.0,14490.75,56.25,14518.875,120,23,20,True,True,14527.75,14537.5,14528.25,14491.5,14525.75,14525.75,high,0.0,1.0,0.0,True,REL,2023-01-24 09:30:00,14547.0,1.0,1.0,,True,True,H79,0.0,True,1.0,1.0,1.0,False,False,False,False
2023-01-25,2023,2,14423.75,14360.5,63.25,14392.125,120,26,23,True,True,14401.25,14406.25,14401.75,14361.0,14399.0,14399.0,high,1.0,1.0,1.0,True,REL,2023-01-25 09:30:00,14423.75,1.0,1.0,,True,True,L79,1.0,True,1.0,0.0,0.0,False,False,False,False
