date,open,high,low,close,n_bars,open_0930,H_rth,L_rth,n_rth
2022-12-26,13759.0,13838.75,13759.0,13817.25,359,,,,0
2022-12-27,13817.0,13832.0,13546.5,13577.5,1380,13710.0,13712.0,13551.0,391
2022-12-28,13578.0,13651.5,13413.75,13457.5,1379,13557.75,13651.5,13413.75,391
2022-12-29,13458.0,13726.5,13448.0,13676.5,1378,13541.75,13726.5,13511.5,391
2022-12-30,13676.75,13706.5,13510.5,13696.75,1021,13563.75,13681.0,13510.5,391
2023-01-02,13777.5,13805.0,13607.0,13677.75,359,,,,0
2023-01-03,13678.0,13837.0,13499.75,13638.25,1380,13779.25,13837.0,13499.75,391
2023-01-04,13638.0,13723.5,13518.5,13638.5,1380,13686.5,13723.5,13518.5,391
2023-01-05,13639.0,13701.75,13460.0,13531.0,1380,13569.75,13582.25,13460.0,391
2023-01-06,13530.5,13820.75,13406.0,13763.75,1021,13541.0,13820.75,13421.25,391
2023-01-08,13781.5,13833.0,13778.25,13829.0,357,,,,0
2023-01-09,13828.25,14040.5,13775.25,13801.0,1380,13856.75,14040.5,13814.75,391
2023-01-10,13800.5,13956.5,13749.0,13931.25,1380,13798.0,13941.25,13775.75,391
2023-01-11,13931.75,14147.75,13894.75,14143.25,1380,13986.0,14134.5,13946.0,391
2023-01-12,14142.75,14234.75,13946.0,14144.0,1380,14134.75,14229.75,13966.25,391
2023-01-13,14144.0,14274.5,14044.0,14256.5,1021,14080.75,14274.5,14063.75,391
2023-01-15,14268.5,14293.75,14237.5,14274.0,358,,,,0
2023-01-16,14273.25,14274.5,14165.25,14201.75,1140,14248.5,14266.25,14215.5,211
2023-01-17,14201.75,14347.5,14185.5,14299.5,1380,14257.25,14340.0,14204.5,391
2023-01-18,14299.5,14414.5,14101.5,14123.25,1380,14355.0,14414.5,14125.5,391
2023-01-19,14124.5,14141.75,13963.5,14054.75,1380,14051.0,14109.25,13963.5,391
2023-01-20,14055.0,14341.75,14020.25,14332.75,1021,14091.0,14341.75,14038.5,391
2023-01-22,14331.75,14340.25,14305.5,14320.25,358,,,,0
2023-01-23,14320.25,14638.0,14307.0,14583.5,1380,14361.75,14638.0,14326.75,391
2023-01-24,14584.0,14665.5,14453.25,14473.0,1380,14512.25,14606.5,14493.25,391
2023-01-25,14473.25,14577.75,14259.5,14570.25,1380,14365.0,14558.5,14259.5,391
2023-01-26,14570.25,14768.0,14559.25,14688.25,1380,14673.5,14766.25,14559.25,391
2023-01-27,14688.25,14963.5,14671.0,14876.0,1021,14704.5,14963.5,14696.75,391
2023-01-29,14867.5,14907.0,14825.0,14832.75,359,,,,0
2023-01-30,14833.0,14835.0,14576.75,14590.5,1380,14735.0,14798.25,14615.0,391
2023-01-31,14590.25,14811.0,14526.0,14763.25,1380,14631.5,14811.0,14624.0,391
2023-02-01,14763.5,15214.75,14710.25,15194.25,1380,14798.25,15171.25,14710.25,391
2023-02-02,15193.75,15604.75,15163.0,15311.0,1380,15329.75,15589.5,15302.25,391
2023-02-03,15311.75,15533.0,15206.25,15271.5,1021,15220.0,15533.0,15213.5,391
2023-02-05,15227.0,15260.5,15205.0,15221.0,359,,,,0
2023-02-06,15221.75,15263.5,15110.75,15185.5,1380,15160.75,15263.5,15110.75,391
2023-02-07,15185.0,15473.5,15114.25,15441.0,1379,15162.75,15473.5,15114.25,391
2023-02-08,15441.0,15463.5,15167.75,15231.25,1380,15368.5,15407.0,15167.75,391
2023-02-09,15231.25,15383.5,15021.5,15045.75,1380,15377.25,15383.5,15021.5,391
2023-02-10,15045.5,15101.25,14898.25,14997.0,1021,14984.25,15077.0,14898.25,391
2023-02-12,15012.5,15022.0,14920.25,14940.75,359,,,,0
2023-02-13,14940.5,15222.0,14938.25,15179.0,1380,15056.0,15222.0,15007.0,391
2023-02-14,15178.75,15342.0,15045.5,15218.75,1380,15131.5,15328.5,15045.5,391
2023-02-15,15218.75,15447.75,15179.25,15435.25,1380,15207.0,15389.5,15179.25,391
2023-02-16,15435.25,15439.0,15056.5,15067.75,1380,15175.75,15349.25,15130.75,391
2023-02-17,15068.0,15078.75,14920.75,15039.25,1021,15049.5,15078.75,14920.75,391
2023-02-19,15035.0,15061.5,15001.5,15048.25,359,,,,0
2023-02-20,15049.0,15072.75,14988.75,15000.75,1139,15049.5,15050.75,15021.0,211
2023-02-21,15001.0,15015.5,14745.25,14784.0,1380,14884.5,14945.0,14745.25,391
2023-02-22,14784.75,14867.75,14689.0,14861.0,1379,14779.25,14845.5,14689.0,391
2023-02-23,14861.5,14916.0,14683.5,14832.0,1380,14904.0,14914.75,14683.5,391
2023-02-24,14832.25,14842.5,14578.0,14654.75,1021,14648.5,14698.0,14578.0,391
2023-02-26,14658.0,14702.0,14645.0,14684.25,359,,,,0
2023-02-27,14684.75,14844.5,14661.5,14760.75,1379,14784.75,14844.5,14713.5,391
2023-02-28,14761.25,14827.75,14644.25,14724.25,1380,14716.0,14827.75,14696.5,391
2023-03-01,14724.0,14796.75,14509.25,14558.5,1380,14707.25,14734.5,14579.75,391
2023-03-02,14558.5,14751.25,14487.5,14687.25,1380,14508.5,14751.25,14501.25,391
2023-03-03,14687.25,14984.0,14674.0,14979.5,1021,14790.25,14976.25,14766.5,391
2023-03-05,14961.25,15033.0,14931.25,14996.0,359,,,,0
2023-03-06,14996.0,15141.25,14950.5,15021.5,1380,15015.25,15141.25,14969.25,391
2023-03-07,15021.5,15036.25,14793.75,14818.0,1379,14980.75,15017.75,14797.25,391
2023-03-08,14818.0,14909.5,14763.25,14859.5,1380,14839.0,14909.5,14763.25,391
2023-03-09,14859.5,15008.5,14581.0,14592.0,1380,14902.0,15008.5,14632.5,391
2023-03-10,14591.0,14764.0,14450.0,14547.5,1021,14666.75,14734.5,14450.0,391
2023-03-12,14538.75,14724.25,14500.75,14705.75,359,,,,0
2023-03-13,14706.75,14747.5,14331.0,14637.25,1380,14405.0,14738.25,14346.75,391
2023-03-14,14636.75,14899.0,14557.0,14872.5,1380,14726.0,14881.25,14693.25,391
2023-03-15,14873.5,14987.25,14621.5,14950.75,1380,14734.5,14932.25,14677.0,391
2023-03-16,14950.75,15260.5,14838.75,15244.75,1380,14873.75,15260.5,14838.75,391
2023-03-17,15244.5,15336.0,15094.25,15173.25,1021,15247.75,15336.0,15094.25,391
2023-03-19,15214.75,15274.75,15180.75,15194.25,359,,,,0
2023-03-20,15194.25,15262.5,15050.0,15218.75,1380,15145.75,15232.75,15054.25,391
2023-03-21,15219.25,15423.0,15211.25,15400.75,1380,15300.0,15423.0,15237.25,391
2023-03-22,15400.75,15606.75,15202.75,15293.75,1380,15398.75,15606.75,15220.75,391
2023-03-23,15293.75,15555.75,15258.25,15385.25,1380,15371.0,15555.75,15258.25,391
2023-03-24,15385.5,15449.5,15252.75,15447.5,1021,15340.75,15420.75,15252.75,391
2023-03-26,15440.75,15486.0,15427.25,15475.25,359,,,,0
2023-03-27,15475.75,15509.25,15290.25,15332.5,1380,15442.0,15490.0,15290.25,391
2023-03-28,15332.25,15358.25,15159.0,15298.5,1380,15294.25,15302.25,15159.0,391
2023-03-29,15298.75,15518.75,15297.0,15467.75,1380,15408.5,15518.75,15379.25,391
2023-03-30,15468.0,15663.5,15466.5,15654.25,1380,15588.25,15636.5,15536.0,391
2023-03-31,15654.0,15836.25,15582.25,15832.75,1021,15622.5,15836.25,15605.0,391
2023-04-02,15786.75,15800.25,15724.75,15742.25,359,,,,0
2023-04-03,15741.5,15803.5,15678.75,15767.0,1379,15730.25,15803.5,15678.75,391
2023-04-04,15767.25,15873.5,15693.0,15751.25,1380,15810.25,15851.5,15693.0,391
2023-04-05,15751.5,15760.75,15530.75,15550.0,1083,15703.75,15706.75,15530.75,274
