week,week_start,P0,Lstar,first_tag,unique,success,foil_success,U,success_fri,dual,agg
2023-W03,2023-01-16,14248.5,PWH,PMH,True,False,False,PWL,False,False,FULL_ET_CALENDAR
2023-W05,2023-01-30,14735.0,PWH,PMH,True,False,False,PML,False,False,FULL_ET_CALENDAR
2023-W06,2023-02-06,15160.75,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W07,2023-02-13,15056.0,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2023-W08,2023-02-20,15049.5,PMH,PMH,True,True,False,PWH,True,False,FULL_ET_CALENDAR
2023-W09,2023-02-27,14784.75,PMH,PWL,True,False,False,PMH,True,False,FULL_ET_CALENDAR
2023-W10,2023-03-06,15015.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W12,2023-03-20,15145.75,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2023-W15,2023-04-10,15568.5,PWL,PWL,True,True,False,PML,False,False,FULL_ET_CALENDAR
2023-W16,2023-04-17,15688.75,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W17,2023-04-24,15601.0,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2023-W19,2023-05-08,15822.25,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W20,2023-05-15,15939.25,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W22,2023-05-29,16900.25,PWH,PMH,True,False,True,PMH,False,False,FULL_ET_CALENDAR
2023-W25,2023-06-19,17603.5,PWH,PMH,True,False,True,PMH,False,False,FULL_ET_CALENDAR
2023-W27,2023-07-03,17700.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W28,2023-07-10,17515.5,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2023-W31,2023-07-31,18208.0,PWH,PMH,True,False,True,PMH,False,False,FULL_ET_CALENDAR
2023-W32,2023-08-07,17779.75,PWL,PWL,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W33,2023-08-14,17413.5,PML,PML,True,True,True,PML,True,False,FULL_ET_CALENDAR
2023-W34,2023-08-21,17152.75,PWL,PML,True,False,True,PML,False,False,FULL_ET_CALENDAR
2023-W35,2023-08-28,17452.5,PML,PML,True,True,False,PMH,True,False,FULL_ET_CALENDAR
2023-W38,2023-09-18,17501.75,PWL,PWL,True,True,False,PMH,True,False,FULL_ET_CALENDAR
2023-W40,2023-10-02,17023.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W41,2023-10-09,17164.0,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2023-W42,2023-10-16,17327.75,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2023-W44,2023-10-30,16512.0,PWL,PML,True,False,False,PWH,False,False,FULL_ET_CALENDAR
2023-W45,2023-11-06,17356.75,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2023-W46,2023-11-13,17684.25,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2023-W48,2023-11-27,18146.75,PWL,PMH,True,False,False,PWH,False,False,FULL_ET_CALENDAR
2023-W49,2023-12-04,18014.5,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2023-W52,2023-12-26,18950.75,PWH,PMH,True,False,False,PWL,False,False,FULL_ET_CALENDAR
2024-W01,2024-01-02,18803.75,PWL,PWL,True,True,False,PML,True,False,FULL_ET_CALENDAR
2024-W02,2024-01-08,18449.0,PWL,PWH,True,False,True,PWH,False,False,FULL_ET_CALENDAR
2024-W05,2024-01-29,19482.25,PWL,PMH,True,False,False,PWH,False,False,FULL_ET_CALENDAR
2024-W08,2024-02-19,19728.0,PMH,PMH,True,True,False,PWH,True,False,FULL_ET_CALENDAR
2024-W09,2024-02-26,19949.75,PWH,PMH,True,False,False,PWH,True,False,FULL_ET_CALENDAR
2024-W11,2024-03-11,19915.75,PWL,PMH,True,False,False,PML,True,False,FULL_ET_CALENDAR
2024-W13,2024-03-25,20158.0,PMH,PMH,True,True,False,PWL,False,False,FULL_ET_CALENDAR
2024-W17,2024-04-22,18986.0,PWL,PML,True,False,True,PML,False,False,FULL_ET_CALENDAR
2024-W19,2024-05-06,19761.25,PWH,PWH,True,True,True,PWH,True,False,FULL_ET_CALENDAR
2024-W20,2024-05-13,20023.0,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2024-W22,2024-05-27,20573.25,PWH,PMH,True,False,False,PWH,False,False,FULL_ET_CALENDAR
2024-W24,2024-06-10,20684.0,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2024-W29,2024-07-15,22043.0,PMH,PMH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2024-W30,2024-07-22,21380.25,PWL,PWL,True,True,False,PWH,True,False,FULL_ET_CALENDAR
2024-W31,2024-07-29,20713.75,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2024-W34,2024-08-19,21038.25,PWH,PWH,True,True,True,PWH,True,False,FULL_ET_CALENDAR
2024-W35,2024-08-26,21203.5,PWL,PWL,True,True,False,PWH,True,False,FULL_ET_CALENDAR
2024-W36,2024-09-02,21050.0,PWH,PWL,True,False,False,PML,False,False,FULL_ET_CALENDAR
2024-W38,2024-09-16,20864.25,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2024-W39,2024-09-23,21276.0,PWH,PWH,True,True,True,PWH,True,False,FULL_ET_CALENDAR
2024-W40,2024-09-30,21377.0,PMH,PMH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2024-W41,2024-10-07,21329.75,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2024-W43,2024-10-21,21617.25,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2024-W44,2024-10-28,21819.75,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2024-W49,2024-12-02,22231.5,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2024-W52,2024-12-23,22527.5,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W02,2025-01-06,22638.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W04,2025-01-20,22634.0,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2025-W06,2025-02-03,22113.0,PWL,PWH,True,False,False,PMH,False,False,FULL_ET_CALENDAR
2025-W09,2025-02-24,22669.25,PWL,PWL,True,True,True,PWL,True,False,FULL_ET_CALENDAR
2025-W12,2025-03-17,20609.75,PWH,PML,True,False,False,PWH,False,False,FULL_ET_CALENDAR
2025-W15,2025-04-07,17626.25,PWL,PML,True,False,False,PWL,False,False,FULL_ET_CALENDAR
2025-W16,2025-04-14,19940.5,PWH,PML,True,False,False,PWH,True,False,FULL_ET_CALENDAR
2025-W18,2025-04-28,20261.0,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2025-W19,2025-05-05,20723.75,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2025-W22,2025-05-26,21969.0,PWH,PMH,True,False,False,PML,False,False,FULL_ET_CALENDAR
2025-W25,2025-06-16,22511.5,PMH,PMH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2025-W28,2025-07-07,23440.75,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W33,2025-08-11,24202.5,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W34,2025-08-18,24257.5,PMH,PMH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W36,2025-09-01,23970.0,PWL,PWL,True,True,False,PMH,True,False,FULL_ET_CALENDAR
2025-W37,2025-09-08,24280.25,PWH,PWH,True,True,False,PWL,True,False,FULL_ET_CALENDAR
2025-W40,2025-09-29,25115.0,PWH,PMH,True,False,False,PWL,False,False,FULL_ET_CALENDAR
2025-W42,2025-10-13,25084.0,PMH,PMH,True,True,True,PMH,True,False,FULL_ET_CALENDAR
2025-W45,2025-11-03,26478.25,PWH,PWL,True,False,False,PMH,False,False,FULL_ET_CALENDAR
2025-W46,2025-11-10,25796.25,PWH,PWL,True,False,False,PML,True,False,FULL_ET_CALENDAR
2025-W47,2025-11-17,25252.75,PWL,PWL,True,True,False,PWH,False,False,FULL_ET_CALENDAR
2025-W48,2025-11-24,24779.25,PML,PWH,True,False,False,PML,False,False,FULL_ET_CALENDAR
2025-W49,2025-12-01,25515.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
2025-W50,2025-12-08,26052.25,PWH,PWH,True,True,False,PML,True,False,FULL_ET_CALENDAR
