week,week_start,P0,Lstar,first_tag,unique,success,foil_success,U,success_fri,unique2,success2,foil2,dual
2024-W41,2024-10-07,20220.0,PWH,PWH,True,True,True,PWH,True,True,True,True,False
2024-W43,2024-10-21,20496.25,PMH,PMH,True,True,False,PML,True,True,False,True,False
2024-W44,2024-10-28,20525.5,PMH,PMH,True,True,True,PMH,True,True,True,True,False
2024-W49,2024-12-02,20995.25,PWH,PWH,True,True,False,PWL,True,True,True,False,False
2024-W52,2024-12-23,21566.0,PMH,PMH,True,True,False,PWH,False,False,False,False,False
2025-W02,2025-01-06,21532.25,PWH,PWH,True,True,False,PML,True,True,True,True,False
2025-W04,2025-01-21,21600.0,PWH,PWH,True,True,False,PMH,True,True,True,False,False
2025-W05,2025-01-27,21771.0,PWH,PWL,True,False,False,PML,False,True,False,True,False
2025-W06,2025-02-03,21200.0,PWL,PWH,True,False,False,PMH,True,True,False,True,False
2025-W09,2025-02-24,21700.75,PWL,PWL,True,True,False,PML,True,True,True,False,False
2025-W12,2025-03-17,19668.25,PWH,PML,True,False,False,PWH,False,False,False,False,False
2025-W16,2025-04-14,19225.0,PWH,PML,True,False,False,PMH,True,False,False,False,False
2025-W18,2025-04-28,19524.5,PWH,PWH,True,True,False,PWL,True,True,True,True,False
2025-W19,2025-05-05,20181.5,PWH,PMH,True,False,False,PWH,False,True,True,False,False
2025-W22,2025-05-27,20978.0,PWL,PMH,True,False,False,PWH,False,True,False,False,False
2025-W24,2025-06-09,21799.25,PMH,PMH,True,True,False,PWH,True,True,True,True,False
2025-W25,2025-06-16,21554.0,PWL,PMH,True,False,False,PML,False,True,True,False,False
2025-W28,2025-07-07,22970.0,PMH,PMH,True,True,False,PWH,True,True,True,True,False
2025-W29,2025-07-14,22860.75,PMH,PMH,True,True,False,PWL,True,True,False,True,False
2025-W33,2025-08-11,23764.0,PWH,PWH,True,True,False,PML,True,True,True,True,False
2025-W34,2025-08-18,23795.0,PMH,PMH,True,True,False,PWH,True,True,True,False,False
2025-W36,2025-09-02,23479.0,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2025-W37,2025-09-08,23673.5,PWH,PWH,True,True,False,PML,True,True,True,True,False
2025-W40,2025-09-29,24726.5,PWH,PMH,True,False,False,PWL,False,True,True,False,False
2025-W42,2025-10-13,24542.0,PWL,PMH,True,False,True,PMH,False,False,False,False,False
2025-W45,2025-11-03,26028.25,PWL,PWL,True,True,True,PWL,True,True,True,False,False
2025-W46,2025-11-10,25320.75,PWL,PWL,True,True,True,PWL,True,True,True,False,False
2025-W47,2025-11-17,25142.25,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2025-W48,2025-11-24,24455.75,PML,PWH,True,False,False,PWL,False,True,False,True,False
2025-W49,2025-12-01,25482.5,PWH,PWH,True,True,False,PML,True,True,True,True,False
2025-W50,2025-12-08,25750.0,PWH,PWH,True,True,False,PMH,True,True,True,True,False
2025-W51,2025-12-15,25223.5,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2025-W52,2025-12-22,25635.25,PWH,PWH,True,True,False,PWL,True,True,True,False,False
2026-W01,2025-12-29,25863.25,PWH,PWL,True,False,True,PWL,False,True,False,True,False
2026-W04,2026-01-20,25471.0,PWL,PWL,True,True,True,PWL,False,True,True,False,False
2026-W06,2026-02-02,25530.0,PWL,PWL,True,True,True,PWL,True,True,True,True,False
2026-W07,2026-02-09,25153.75,PML,PML,True,True,False,PWL,True,False,False,False,False
2026-W09,2026-02-23,25033.75,PML,PML,True,True,False,PWH,True,True,True,False,False
2026-W10,2026-03-02,24682.5,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2026-W12,2026-03-16,24285.0,PML,PML,True,True,False,PWH,True,False,False,False,False
2026-W15,2026-04-06,24093.5,PWH,PWH,True,True,True,PWH,True,True,True,False,False
2026-W17,2026-04-20,26599.75,PWH,PMH,True,False,False,PML,False,True,True,False,False
2026-W21,2026-05-18,29135.0,PWL,PMH,True,False,True,PMH,False,True,True,False,False
2026-W24,2026-06-08,28844.5,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2026-W27,2026-06-29,29282.5,PWL,PMH,True,False,False,PWL,False,False,False,False,False
2026-W28,2026-07-06,29930.25,PWL,PWL,True,True,False,PMH,True,True,True,True,False
2026-W29,2026-07-13,29952.0,PWH,PWL,True,False,True,PWL,False,True,False,True,False
2026-W32,2026-08-03,28565.0,PWH,PWH,True,True,False,PML,True,True,True,True,False
2026-W33,2026-08-10,29851.25,PWH,PWH,True,True,True,PWH,True,True,True,True,False
2026-W34,2026-08-17,30170.0,PWH,PWH,True,True,False,PML,True,True,True,False,False
2026-W35,2026-08-24,29392.25,PWL,PWL,True,True,False,PML,True,True,True,False,False
2026-W36,2026-08-31,29540.0,PWH,PWL,True,False,False,PML,False,True,False,False,False
2026-W37,2026-09-08,29535.25,PWH,PWH,True,True,True,PWH,True,True,True,False,False
